abatacepte;BRISTOL-MEYERS SQUIBB FARMACÊUTICA LTDA;ORENCIA;250 MG PO LIOF INJ CT FA + SER DESC;0;SIM
acebrofilina;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;18,61;NÃO
acebrofilina;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;14,39;NÃO
acebrofilina;MABRA FARMACÊUTICA LTDA;BRONFILIL;10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED;26;NÃO
acebrofilina;MABRA FARMACÊUTICA LTDA;BRONFILIL;5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED;19,15;NÃO
acebrofilina;LABORATÓRIO GLOBO LTDA;RESPIRAN;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;17,48;NÃO
acebrofilina;LABORATÓRIO GLOBO LTDA;RESPIRAN;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;24,08;NÃO
acebrofilina;LABORATÓRIO TEUTO BRASILEIRO S.A.;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120ML ;13,56;NÃO
acebrofilina;LABORATÓRIO TEUTO BRASILEIRO S.A.;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120ML ;18,94;NÃO
acebrofilina;LABORATÓRIO NEOQUÍMICA COMÉRCIO E INDÚSTRIA LTDA;BRONDYNEO;10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED;27,27;NÃO
acebrofilina;LABORATÓRIO NEOQUÍMICA COMÉRCIO E INDÚSTRIA LTDA;BRONDYNEO;25MG/5ML XPE INF (VD C/120ML);20,09;NÃO
acebrofilina;LABORATÓRIO NEOQUÍMICA COMÉRCIO E INDÚSTRIA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;13,52;NÃO
acebrofilina;LABORATÓRIO NEOQUÍMICA COMÉRCIO E INDÚSTRIA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;18,35;NÃO
acebrofilina;GERMED FARMACEUTICA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + COP;13,74;NÃO
acebrofilina;GERMED FARMACEUTICA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + COP;18,72;NÃO
acebrofilina;MEDLEY S/A  INDÚSTRIA FARMACÊUTICA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR ;19,12;NÃO
acebrofilina;MEDLEY S/A  INDÚSTRIA FARMACÊUTICA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + DOSADOR  ;13,54;NÃO
acebrofilina;LABORATÓRIOS BIOSINTÉTICA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ;13,74;NÃO
acebrofilina;LABORATÓRIOS BIOSINTÉTICA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;19,45;NÃO
acebrofilina;EMS S/A ;ACEBROFILINA;50MG/5ML XPE C/120ML;19,13;NÃO
acebrofilina;EMS S/A ;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;01;13,55;NÃO
acebrofilina;EMS S/A ;BRONCOLEX;5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML;14,29;NÃO
acebrofilina;EMS S/A ;BRONCOLEX;10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML;19,44;NÃO
acebrofilina;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;BRONDILAT;5 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML;11,07;NÃO
acebrofilina;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;BRONDILAT;10 MG / ML XPE CT FR PLAS PET AMB X 60 ML + CP MED X 10 ML;16,39;NÃO
acebrofilina;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;BRONDILAT;10 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML;32,78;NÃO
acebrofilina;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;BRONDILAT;5 MG / ML XPE CT FR PLAS PET AMB X 120 ML + CP MED X 10 ML;22,13;NÃO
acebrofilina;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ACEBROFILINA;5MG/ML XPE CT FR VD AMB X 120ML + SER DOSAD;17,77;NÃO
acebrofilina;LABORATÓRIO AMERICANO DE FARMACOTERAPIA - FARMASA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ;13,48;NÃO
acebrofilina;LABORATÓRIO AMERICANO DE FARMACOTERAPIA - FARMASA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ;13,48;NÃO
acebrofilina;LABORATÓRIO AMERICANO DE FARMACOTERAPIA - FARMASA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ;19,18;NÃO
acebrofilina;LABORATÓRIO AMERICANO DE FARMACOTERAPIA - FARMASA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED ;19,18;NÃO
acebrofilina;EUROFARMA LABORATÓRIOS LTDA;FILINAR;5 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED;01;14,88;NÃO
acebrofilina;EUROFARMA LABORATÓRIOS LTDA;FILINAR;10 MG/ML XPE CT FR VD AMB X 120 ML + COPO MED ;20,4;NÃO
acebrofilina;EUROFARMA LABORATÓRIOS LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;20,4;NÃO
acebrofilina;EUROFARMA LABORATÓRIOS LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED;14,88;NÃO
acebrofilina;NOVA QUÍMICA FARMACÊUTICA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;14,39;NÃO
acebrofilina;NOVA QUÍMICA FARMACÊUTICA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS AMB X 120 ML + CP MED;21,32;NÃO
acebrofilina;NOVA QUÍMICA FARMACÊUTICA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED  ;14,39;NÃO
acebrofilina;NOVA QUÍMICA FARMACÊUTICA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ;21,31;NÃO
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;10 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED;20,66;NÃO
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;5 MG/ ML XPE CT FR VD AMB X 120 ML + CP MED;13,78;NÃO
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;10 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP);0;SIM
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;5 MG/ML XPE CX 50 FR PLAS OPC X 120 ML + 50 CP MED (EMB HOSP);0;SIM
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;10 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP);0;SIM
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;5 MG/ ML XPE CX 50 FR PLAS AMB X 120 ML + 50 CP MED (EMB HOSP);0;SIM
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED;13,78;NÃO
acebrofilina;PRATI, DONADUZZI & CIA LTDA;ACEBROFILINA;10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED;20,67;NÃO
aceclofenaco;GERMED FARMACEUTICA LTDA;ACECLOFENACO;15 MG/G CREM DERM CT BG AL X 30 G ;16,5;NÃO
aceclofenaco;EMS S/A ;ACECLOFENACO;15 MG/G CREM DERM CT BG AL X 30 G;16,5;NÃO
aceclofenaco;EUROFARMA LABORATÓRIOS LTDA;PROFLAM;100 MG COM REV CT BL AL/AL X 12 ;34,09;NÃO
aceclofenaco;EUROFARMA LABORATÓRIOS LTDA;PROFLAM;15 MG/G CREM DERM CT TB AL X 30 G;25,44;NÃO
aceclofenaco;EUROFARMA LABORATÓRIOS LTDA;PROFLAM;100 MG COM REV CT BL AL / AL X 6;16,42;NÃO
aceclofenaco;RANBAXY FARMACÊUTICA LTDA;ACECLOFENACO;100 MG COM REV CT 2 STR AL X 12;40,79;NÃO
aceclofenaco;RANBAXY FARMACÊUTICA LTDA;ACECLOFENACO;100 MG COM REV CT STR AL X 12;21,83;NÃO
aceclofenaco;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS;ACECLOFENACO;100 MG COM REV CT BL AL/AL X 12 ;20,93;NÃO
aceclofenaco;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS;CECOFENE;100 MG COM REV CT BL AL/AL X 12;24,15;NÃO
aceponato de metilprednisolona;INTENDIS DO BRASIL FARMACÊUTICA LTDA;ADVANTAN;1 MG/ML SOL TOP CT FR PLAS OPC GOT X 20 ML;51,36;NÃO
aceponato de metilprednisolona;INTENDIS DO BRASIL FARMACÊUTICA LTDA;ADVANTAN;1 MG/G CREM DERM CT BG AL X 15 G;37,48;NÃO
aceponato de metilprednisolona;INTENDIS DO BRASIL FARMACÊUTICA LTDA;ADVANTAN;1 MG/G LOÇÃO CREMOSA CT BG AL X 20 G;48,03;NÃO
aceponato de metilprednisolona;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;ADVANTAN;0,1 PCC SOLUÇÃO TOP FR GT C/ 20 ML;46,21;NÃO
acetato de busserrelina;SANOFI-AVENTIS FARMACÊUTICA LTDA;SUPREFACT DEPOT;3,3 MG/MICROBAST IMPL CT SER APLIC X 2 MICROBAST;1676,8;NÃO
acetato de caspofungina;MERCK SHARP & DOHME FARMACÊUTICA LTDA;CANCIDAS;70 MG PO LIOF SOL INJ CT FA VD INC;3684,96;NÃO
acetato de caspofungina;MERCK SHARP & DOHME FARMACÊUTICA LTDA;CANCIDAS;50 MG PO LIOF SOL INJ CT FA VD INC;2860,52;NÃO
acetato de cetrorrelix;SERONO PRODUTOS FARMACÊUTICOS LTDA;CETROTIDE;0,25 MG PO LIOF INJ CT FA VD INC + 1 SER DIL + 2 AGULHAS + 2 TOALHAS;274,1;NÃO
acetato de ciproterona;EMS SIGMA PHARMA LTDA;ARTEMIDIS;35 0,035MG+2MG 1BL X 21 COMP. REV;11,4;NÃO
acetato de ciproterona;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;ANDROCUR;100 MG COM CT 2 BL AL PLAS INC X 10;222,3;NÃO
acetato de ciproterona;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;ANDROCUR;50 MG COM CT BL AL PLAS INC X 20;118,05;NÃO
acetato de ciproterona;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;PROSTMAN;50 MG COM CT FR VD AMB X 20;109,06;NÃO
acetato de ciproterona;EUROFARMA LABORATÓRIOS LTDA;CETOTERON;50 MG COM CT BL AL PLAS INC X 30;177,07;NÃO
acetato de ciproterona;EUROFARMA LABORATÓRIOS LTDA;CETOTERON;50 MG COM CT FR AMB X 20;119,88;NÃO
acetato de ciproterona;LABORATORIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ANDROSTERON;50 MG COM CT 2 BL AL PLAS INC X 10;97,42;NÃO
acetato de ciproterona;LABORATORIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE CIPROTERONA;100 MG COM CT BL AL PLAS INC X 20;138,11;NÃO
acetato de ciproterona;LABORATORIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE CIPROTERONA;50 MG COM CT BL AL PLAS INC X 20;73,31;NÃO
acetato de ciproterona;SANDOZ DO BRASIL INDUSTRIA FARMACÊUTICA LTDA;ANDELUX;50 MG COM CT BL AL PLAST INC X 20;112,1;NÃO
acetato de ciproterona;APSEN FARMACÊUTICA S/A;CIPROSTAT;50 MG COM CT BL AL PLAS INC X 20;84,48;NÃO
acetato de ciproterona, etinilestradiol;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;REPOPIL;2 MG + 0,035 MG COM REV CT BL AL PLAS INC X 21;17,04;NÃO
acetato de ciproterona, etinilestradiol;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;REPOPIL;2 MG + 0,035 MG DRG CT BL AL PLAS INC X 63;51,15;NÃO
acetato de ciproterona, etinilestradiol;MABRA FARMACÊUTICA LTDA;FERANE 35;2 MG + 0,035 MG DRG CT BL AL PLAS INC X 21 ;17,92;NÃO
acetato de ciproterona, etinilestradiol;MABRA FARMACÊUTICA LTDA;FERANE 35;2 MG + 0,035 MG DRG CT BL AL PLAS INC X 63;52,2;NÃO
acetato de ciproterona, etinilestradiol;MERCK S/A ;DICLIN;2 MG + 0,035 MG COM REV CT CART EST CAL AL PVC X 63;29,48;NÃO
acetato de ciproterona, etinilestradiol;MERCK S/A ;DICLIN;2 MG + 0,035 MG COM REV CT CART EST CAL AL PVC X 21;12,26;NÃO
acetato de ciproterona, etinilestradiol;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;DIANE 35;2 MG + 0,035 MG DRG CT BL CALEND AL PLAS INC X 21;20,59;NÃO
acetato de ciproterona, etinilestradiol;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;DIANE 35;2 MG + 0,035 MG DRG CT BL - CALEND AL PLAS INC X 21;20,59;NÃO
acetato de ciproterona, etinilestradiol;EMS S/A ;REPOPIL;2 MG + 0,035 MG DRG CT BL AL PLAS INC X 63;51,15;NÃO
acetato de ciproterona, etinilestradiol;EMS S/A ;REPOPIL;2 MG + 0,035 MG COM REV CT  BL AL PLAS INC X 21 ;17,04;NÃO
acetato de ciproterona, etinilestradiol;EUROFARMA LABORATÓRIOS LTDA;SELENE;(0,035 + 2) MG COM REV CT BL AL PLAS INC X 21;20,02;NÃO
acetato de ciproterona, etinilestradiol;EUROFARMA LABORATÓRIOS LTDA;SELENE;(0,035 + 2) MG COM REV CT BL AL PLAS INC X 63;39,08;NÃO
acetato de ciproterona, etinilestradiol;EUROFARMA LABORATÓRIOS LTDA;SELENE;(0,035 + 2) MG COM REV CT BL AL PLAS LEITOSO X 63;39,08;NÃO
acetato de ciproterona, etinilestradiol;EUROFARMA LABORATÓRIOS LTDA;SELENE;(0,035 + 2) MG COM REV CT BL AL PLAS LEITOSO X 21;20,02;NÃO
acetato de ciproterona, valerato de estradiol;BIOLAB SANUS FARMACÊUTICA LTDA;ELAMAX ;2 MG COM REV + 2 MG + 1 MG COM REV CT EST CAL X 21 (11+10) ;20,44;NÃO
acetato de ciproterona, valerato de estradiol;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;CLIMENE;2 MG DRG / 2 MG + 1 MG DRG CT BL CALEND X 11 + 10;23,66;NÃO
acetato de clormadinona, etinilestradiol;JANSSEN-CILAG FARMACÊUTICA LTDA;BELARA;2 MG + 0,03 MG COM REV CT BL CALEND AL PLAS INC X 21 ;34,83;NÃO
Acetato de Degarelix;LABORATÓRIOS FERRING LTDA;FIRMAGON;120 MG PO LIOF INJ CT 2 FA VD INC + 2 DIL 6 ML + 2 SER + 2 AGU + 4 ADAP;964,44;NÃO
Acetato de Degarelix;LABORATÓRIOS FERRING LTDA;FIRMAGON;80 MG PO LIOF INJ CT 1 FA VD INC + 1 DIL 6 ML + 1 SER + 1 AGU + 2 ADAP;529,79;NÃO
acetato de desmopressina;SUN FARMACÊUTICA LTDA;D-VOID;0,1 MG/ML SOL NAS CT FR VD AMB NEB X 2,5 ML;193,88;NÃO
acetato de desmopressina;SUN FARMACÊUTICA LTDA;D-VOID;0,1 MG/ML SOL NAS CT FR VD AMB NEB X 5 ML;349,01;NÃO
acetato de desmopressina;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;FURP-DESMOPRESSINA;0,1 MG/ML SOL NAS CT FR VD AMB X 5ML + CAN;0;NÃO
acetato de desmopressina;BIOLAB SANUS FARMACÊUTICA LTDA;DESMURIN;0,1 MG/ML SOL NAS CT FR PLAS OPC SPR X 5 ML ;345,1;NÃO
acetato de desmopressina;BIOLAB SANUS FARMACÊUTICA LTDA;DESMURIN;0,1 MG/ML SOL NAS CT FR PLAS OPC SPR X 2,5 ML;189,81;NÃO
acetato de desmopressina;BIOLAB SANUS FARMACÊUTICA LTDA;DESMURIN;0,2 MG COM CT FR PLAS OPC X 14 ;123,77;NÃO
acetato de desmopressina;BIOLAB SANUS FARMACÊUTICA LTDA;DESMURIN;0,2 MG COM CT FR PLAS OPC X 30;265,22;NÃO
acetato de desmopressina;BIOLAB SANUS FARMACÊUTICA LTDA;DESMURIN;0,1 MG COM CT FR PLAS OPC X 14 ;64,56;NÃO
acetato de desmopressina;BIOLAB SANUS FARMACÊUTICA LTDA;DESMURIN;0,1 MG COM CT FR PLAS OPC X 30 ;138,33;NÃO
acetato de desmopressina;LABORATORIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE DESMOPRESSINA;0,1 MG/ML SOL NAS CT FR SPR VD AMB X 2,5 ML;145,15;NÃO
acetato de desmopressina;LABORATORIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;ACETATO DE DESMOPRESSINA;0,1 MG/ML SOL NAS CT FR SPR VD AMB X 5 ML;290,16;NÃO
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML ;0;SIM
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;4 MCG/ML SOL INJ CT 10 AMP VD INC X 1 ML;241,4;NÃO
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;0,1 MG/ML SOL NAS CT FR VD AMB SPR 5,0 ML;432,02;NÃO
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;15 MCG /ML SOL INJ CT 1 AMP VD INC X 1ML ;0;SIM
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;0,2 MG COM CT FR PLAS OPC X 30;162,75;NÃO
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;0,1 MG COM CT FR PLAS OPC X 30;162,75;NÃO
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;15 MCG /ML SOL INJ CT 1 AMP VD INC X 2ML ;0;SIM
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML (EMB FRAC);0;SIM
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;15 MCG /ML SOL INJ CT 10 AMP VD INC X 2ML  (EMB FRAC);0;SIM
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;15 MCG /ML SOL INJ CT 10 AMP VD INC X 1ML ;0;SIM
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;0,1 MG/ML SOL NAS CT FR VD AMB SPR 2,5ML;223,32;NÃO
acetato de desmopressina;LABORATÓRIOS FERRING LTDA;DDAVP;0,1MG/ML SOL NAS CT FR VD AMB 2,5ML + 2 TUB;223,32;NÃO
acetato de dexametasona;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA;ADRECON;1 MG/G CREM DERM CT BG AL REV X 10 G ;8,54;NÃO
acetato de dexametasona;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA;ADRECON;1 MG/G CREM DERM CT 100 BG AL REV X 10 G ;857,55;NÃO
acetato de dexametasona;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;ACETATO DE DEXAMETASONA;1,0 MG/G CREM DERM CT BG AL X 10 G;5,71;NÃO
acetato de dexametasona;GEOLAB INDÚSTRIA FARMACÊUTICA LTDA;CETADEX;1 MG/G CREM DERM CT BG AL X 10 G ;9,02;NÃO
acetato de dexametasona;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA;DEXADERMIL;1MG/G CREM DERM CT BG AL X 10 G;12,35;NÃO
acetato de dexametasona;LABORATÓRIO GLOBO LTDA;DEXAMETRAT;1MG/G CREM DERM BG AL C/10G;8,75;NÃO
acetato de dexametasona;LABORATÓRIO TEUTO BRASILEIRO S.A.;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP);0;SIM
acetato de dexametasona;LABORATÓRIO TEUTO BRASILEIRO S.A.;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP);0;SIM
acetato de dexametasona;LABORATÓRIO TEUTO BRASILEIRO S.A.;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CT BG AL X 10 G;5,92;NÃO
acetato de dexametasona;BELFAR LTDA;LISODERME;1 MG CREM DERM CT BG AL X 10 G;8,65;NÃO
acetato de dexametasona;LABORATÓRIOS OSÓRIO DE MORAES LTDA;METADEX;1 MG/G CREM CT BG AL X 10 G;8,8;NÃO
acetato de dexametasona;GREENPHARMA QUÍMICA FARMACÊUTICA LTDA;DEXAGREEN;1 MG/G CREM DERM CT BG AL X 10 G ;8,54;NÃO
acetato de dexametasona;LABORATÓRIO KINDER LTDA;TOPIDEXA;1 MG/G CREM DERM CT BG AL X 10 G ;7,54;NÃO
acetato de dexametasona;GERMED FARMACEUTICA LTDA;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CT BG AL X 10 G  ;5,99;NÃO
acetato de dexametasona;EMS S/A ;DEXADERMIL;1MG/G CREM DERM CT BG AL X 10 G;12,35;NÃO
acetato de dexametasona;EMS S/A ;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CT BG AL X 10 G  ;5,98;NÃO
acetato de dexametasona;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;DECADRONAL;8MG/ML SUS INJ CT FA INC X 2 ML;10,78;NÃO
acetato de dexametasona;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;DECADRON INJETÁVEL;4MG/ML SOL INJ CT 1 FA X 2,5 ML;9,43;NÃO
acetato de dexametasona;ACHÉ LABORATÓRIOS FARMACÊUTICOS S/A;DECADRON INJETÁVEL;2MG INJ 2 AMP X 1ML;7,63;NÃO
acetato de dexametasona;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ACETATO DE DEXAMETASONA;1 MG/ G CREM DERM CT BG AL X 10 G ;5,3;NÃO
acetato de dexametasona;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ACETATO DE DEXAMETASONA;1 MG/ G CREM DERM CX 50 BG AL X 10 G (EMB HOSP);0;SIM
acetato de dexametasona;SANVAL COMÉRCIO E INDÚSTRIA LTDA;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CT BG AL X 10 G;5,99;NÃO
acetato de dexametasona;SANDOZ DO BRASIL INDUSTRIA FARMACÊUTICA LTDA;DEXAMETONAL;1 MG/G CREM DERM CT BG AL X 10 G;9,23;NÃO
acetato de dexametasona;PRATI, DONADUZZI & CIA LTDA;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP);0;SIM
acetato de dexametasona;PRATI, DONADUZZI & CIA LTDA;ACETATO DE DEXAMETASONA;1 MG/G CREM DERM CT BG AL X 10 G ;5,95;NÃO
acetato de dexametasona;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS;CORTITOP;1,0 MG/G CREM DERM CT BG AL X 10 G  ;9,27;NÃO
acetato de dexametasona;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS;CORTITOP;1,0 MG/G CREM DERM CX 50 BG AL X 10 G   (EMB HOSP);0;SIM
